Sentence,Type,Human,Place,Both
ห้อง FB 401 ไปทางไหน,Place-Place,No,Yes,No
ห้อง FB 402 ไปทางไหนหรอ,Place-Place,No,Yes,No
FB 301 อยู่ชั้นไหน,Place-Human,Yes,Yes,No
ขอเข้าห้อง FB 301 หน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 301 อยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 301 อยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้อง FB 301 ไหม,Place-Place,No,Yes,No
ห้อง FB 301 อยู่ไหน,Place-Place,No,Yes,No
ห้อง FB 301 อยู่ไหนหรอ,Place-Place,No,Yes,No
ห้อง FB 301 ไปทางไหน,Place-Place,No,Yes,No
ห้อง FB 301 ไปทางไหนหรอ,Place-Place,No,Yes,No
ไม่ทราบว่าจะติดต่อน้องสยามอยู่ที่ไหนครับ,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อน้องแพรวได้อย่างไร,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อน้องอ้อมได้ยังไง,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรต้นได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ชิดได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่อน้องได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อน้องอย่างไร,Person_Info,Yes,No,Yes
จะติดต่อน้องได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
น้องอยู่ไหมครับ,Person,Yes,No,No
น้องอยู่ไหมคะ,Person,Yes,No,No
น้องอยู่ไหมครับ,Person,Yes,No,No
น้องอยู่ไหมคะ,Person,Yes,No,No
คุณอยู่ไหมครับ,Person,Yes,No,No
คุณอยู่ไหมคะ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมครับ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมคะ,Person,Yes,No,No
ดรอยู่ไหมครับ,Person,Yes,No,No
ดรอยู่ไหมคะ,Person,Yes,No,No
น้องอยู่ไหนครับ,Place-Human,Yes,Yes,No
น้องอยู่ไหนคะ,Place-Human,Yes,Yes,No
น้องอยู่ไหนครับ,Place-Human,Yes,Yes,No
น้องอยู่ไหนคะ,Place-Human,Yes,Yes,No
คุณอยู่ไหนครับ,Place-Human,Yes,Yes,No
คุณอยู่ไหนคะ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนครับ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนคะ,Place-Human,Yes,Yes,No
ดรอยู่ไหนครับ,Place-Human,Yes,Yes,No
ดรอยู่ไหนคะ,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อน้องได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อน้องได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดอกเตอร์ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดรได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่าจะติดต่อพี่สยามอยู่ที่ไหนครับ,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อพี่แพรวได้อย่างไร,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อพี่อ้อมได้ยังไง,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
ไม่ทราบว่าจะติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรต้นได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ชิดได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่อพี่ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อพี่อย่างไร,Person_Info,Yes,No,Yes
จะติดต่อพี่ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
พี่อยู่ไหมครับ,Person,Yes,No,No
พี่อยู่ไหมคะ,Person,Yes,No,No
พี่อยู่ไหมครับ,Person,Yes,No,No
พี่อยู่ไหมคะ,Person,Yes,No,No
คุณอยู่ไหมครับ,Person,Yes,No,No
คุณอยู่ไหมคะ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมครับ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมคะ,Person,Yes,No,No
ดรอยู่ไหมครับ,Person,Yes,No,No
ดรอยู่ไหมคะ,Person,Yes,No,No
พี่อยู่ไหนครับ,Place-Human,Yes,Yes,No
พี่อยู่ไหนคะ,Place-Human,Yes,Yes,No
พี่อยู่ไหนครับ,Place-Human,Yes,Yes,No
พี่อยู่ไหนคะ,Place-Human,Yes,Yes,No
คุณอยู่ไหนครับ,Place-Human,Yes,Yes,No
คุณอยู่ไหนคะ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนครับ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนคะ,Place-Human,Yes,Yes,No
ดรอยู่ไหนครับ,Place-Human,Yes,Yes,No
ดรอยู่ไหนคะ,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อพี่ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อพี่ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดอกเตอร์ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดรได้ที่ไหน,Place-Human,Yes,Yes,No
ขอเข้าห้องเช่าหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องเช่าไหม,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหน,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องเช่าไปทางไหน,Place-Place,No,Yes,No
ห้องเช่าไปทางไหนหรอ,Place-Place,No,Yes,No
ขอเข้าห้องเช่าหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องเช่าไหม,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหน,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องเช่าไปทางไหน,Place-Place,No,Yes,No
ห้องเช่าไปทางไหนหรอ,Place-Place,No,Yes,No
ขอเข้าห้องเช่าหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องเช่าอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องเช่าไหม,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหน,Place-Place,No,Yes,No
ห้องเช่าอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องเช่าไปทางไหน,Place-Place,No,Yes,No
ห้องเช่าไปทางไหนหรอ,Place-Place,No,Yes,No
